Page,Edits,Editors,Views,Mobile %
Deaths in 2018,24148,951,38615325,41.31
2018 FIFA World Cup,1666,431,34306561,50.98
Avengers: Infinity War,4073,692,32819872,67.9
Louis Tomlinson,98,58,32352014,4.04
Darth Vader,217,83,31622483,2.47
Exo (band),0,0,27342528,26.24
Freddie Mercury,403,151,22066739,76.1
Black Panther (film),2430,462,21229717,66.6
Elizabeth II,506,162,19883632,76.87
Stephen Hawking,781,312,18850051,71.72
Meghan Markle,1,1,18144375,77.68
Cristiano Ronaldo,1569,312,18012229,76.15
Cardi B,826,341,17840040,78.05
Elon Musk,783,340,17512252,64.68
Donald Trump,3008,415,17495106,64.62
BTS (band),0,0,15689873,44.33
XXXTentacion,1423,489,15157771,74.49
United States,885,281,14923131,54.93
List of Bollywood films of 2018,0,0,14651995,73.62
Tunnel,65,46,12799848,0.73
List of highest-grossing films,1453,127,12629896,68.91
LeBron James,753,233,12464006,75.67
Jason Momoa,410,246,12104448,83.37
6ix9ine,1072,253,12027926,77.22
A Quiet Place (film),0,0,11915263,70.57
George H. W. Bush,1156,324,11904741,70.54
Ariana Grande,859,232,11785586,74.93
Anthony Bourdain,967,426,11772210,75.52
Lionel Messi,865,211,11751981,75.23
Deadpool 2,2095,676,11720313,65.62
2018 in film,3057,710,11624060,45.94
Priyanka Chopra,269,90,11492253,82.1
Venom (2018 film),2175,607,11358856,66
Queen Victoria,217,87,11269679,74.45
Avicii,845,343,11258309,72.67
India,745,265,11256768,67.1
Stan Lee,467,227,11207631,72.81
Facebook,402,213,11179862,54.56
John McCain,840,293,10898116,66.96
Millennials,483,140,10860709,69.97
Dwayne Johnson,376,125,10830221,77.56
"Meghan, Duchess of Sussex",1825,474,10797485,82.61
YouTube,362,194,10690160,55.7
"Charles, Prince of Wales",0,0,10634518,77.77
Tonya Harding,1813,307,10577003,78.92
"Princess Margaret, Countess of Snowdon",222,86,10398020,82.57
Donald Glover,603,339,10341715,68.76
The Greatest Showman,1392,611,10298871,72.3
Marvel Cinematic Universe,283,85,10151988,57.46
Nick Jonas,304,182,10120700,83.84
"Prince Philip, Duke of Edinburgh",458,204,10109495,78.5
HTTP cookie,39,24,9980891,77.96
FIFA World Cup,384,140,9972184,62.12
Winston Churchill,980,165,9852420,73.14
Sridevi,2071,825,9841185,83.21
A Star Is Born (2018 film),932,222,9580009,71.25
HTTP 404,157,111,9577334,34.06
Sylvester Stallone,199,84,9392574,83.08
Post Malone,349,170,9297307,76.03
World War II,606,165,9255584,58.21
Fortnite,253,81,9091674,63.75
2.0 (film),2605,770,8999277,82.78
Mac Miller,273,139,8963783,78.13
United Kingdom,513,199,8956298,51.35
XVideos,117,79,8950357,91.1
Michael Jackson,271,95,8946365,68.66
George VI,281,145,8939311,77.73
P. T. Barnum,411,261,8921281,81.91
The Handmaid's Tale (TV series),924,303,8907547,63.74
Adolf Hitler,450,114,8864921,61.02
World War I,504,202,8815171,63.27
Barack Obama,473,248,8786347,59
Eminem,382,173,8778621,68.64
Tom Cruise,136,79,8711991,77.66
Pablo Escobar,84,44,8700251,78.35
List of highest-grossing Indian films,1468,274,8665346,80.75
Solo: A Star Wars Story,2267,768,8663721,59.73
Brett Kavanaugh,1992,509,8646941,65.53
Aretha Franklin,1252,397,8617816,68.81
Riverdale (2017 TV series),0,0,8569271,61.79
Cook's Country,9,7,8433181,99.74
Google,276,136,8406120,51.18
Jennifer Aniston,308,78,8298451,82.01
Jeff Bezos,953,174,8257498,63.77
XXXX,6,4,8050016,93.76
Ant-Man and the Wasp,1690,430,8046563,63.98
Dua Lipa,317,158,7978959,69.35
Kylie Jenner,204,99,7965141,81.43
Pete Davidson,473,250,7904665,77.53
Queen (band),238,88,7880683,63.5
"Diana, Princess of Wales",390,80,7865499,77.13
Jurassic World: Fallen Kingdom,2093,568,7854696,67.03
13 Reasons Why,719,255,7842210,67.5
List of Presidents of the United States,0,0,7832750,67.72
Untitled Avengers film,,,7818014,62.32
Mahatma Gandhi,205,111,7730702,68.77
Khabib Nurmagomedov,976,417,7693373,68.57
Carol Danvers,341,176,7661259,71.99
"Mary, Queen of Scots",438,195,7657687,76.66
Lady Gaga,736,167,7651402,72.24
Demi Lovato,,,7621720,75.75
Burt Reynolds,,,7619018,76.62
Michael B. Jordan,,,7585223,75.41
Kim Kardashian,,,7581720,79.92
Croatia,,,7574365,70.02
List of FIFA World Cup finals,,,7543936,77.06
Null,,,7535180,32.14
Michael Jordan,,,7514286,70.84
Black Mirror,,,7422893,59.1
2018 Winter Olympics,,,7384190,54.36
Wiki,,,7368715,26.72
Star Wars,,,7321467,60.77
Tupac Shakur,,,7297584,74.95
Bitcoin,,,7292942,51.21
China,,,7286702,46.42
Tom Brady,,,7280572,76.43
Clint Eastwood,,,7275375,78.76
Crazy Rich Asians (film),,,7270737,66.01
Travis Scott,,,7250531,77.33
Periodic table,,,7222166,57.52
Mission: Impossible – Fallout,,,7170617,66.52
Ryan Reynolds,,,7145224,75.92
George W. Bush,,,7137629,69.16
Russia,,,7071685,59.1
Scarlett Johansson,,,7059880,76.33
Josh Brolin,,,7048448,74.68
Game of Thrones,,,7045574,58.09
"Prince William, Duke of Cambridge",,,7022020,77.42
Drake (musician),,,6997122,70.54
Edward VIII,,,6994726,76.73
The Nun (2018 film),,,6975033,72.68
Chris Hemsworth,,,6947802,79.68
Andrew Cunanan,,,6946729,81.28
Kylian Mbappé,,,6944580,77.43
Elvis Presley,,,6914401,70.27
