Page,Edits,Editors,Views,Mobile %
"Donald Trump",3777,492,52536834,76.82
"Deaths in 2020",29622,1065,43417559,46.22
"2019–20 coronavirus pandemic",4,4,39532227,51.42
"Kamala Harris",2509,527,39467219,77.41
"Joe Biden",2282,573,35416621,73.38
"Coronavirus",1156,424,33370491,72.1
"Kobe Bryant",1097,438,33298596,79.05
"Wikipedia",420,235,25190737,22.65
"2020 United States presidential election",5115,863,25130681,56.53
"Elizabeth II",334,143,23437199,80.26
"Elon Musk",1463,320,22356254,71.65
"Spanish flu",885,335,21506225,71.76
"2016 United States presidential election",371,189,21267504,59.19
"Michael Jordan",392,109,21168763,79.8
"Sushant Singh Rajput",1077,312,18838735,88
"Coronavirus disease 2019",0,0,18616400,62.85
"Tasuku Honjo",189,117,18381412,99.45
"QAnon",1075,300,18118156,74.07
"Chadwick Boseman",1692,591,17964400,83.92
"Parasite (2019 film)",2155,932,17911771,65.04
"COVID-19 pandemic",23398,3126,17889260,46.7
"Microsoft Office",183,63,17040472,50.25
"United States",1728,446,16447319,60.26
"F5 Networks",0,0,16406160,9.93
"YouTube",372,186,15543001,43.84
"Princess Margaret, Countess of Snowdon",371,132,15542283,85.24
"Alexander Hamilton",261,128,14992891,81.17
"Barack Obama",529,290,14888893,64.94
"United States Electoral College",838,300,14387930,75.41
"Jeffrey Epstein",362,178,14147615,79.78
"Tenet (film)",2430,524,13946215,62.72
"Billie Eilish",704,234,13687859,70.13
"The Mandalorian",1249,432,13172869,62.81
"Diana, Princess of Wales",280,90,12948714,81.87
"Prince Philip, Duke of Edinburgh",186,110,12833940,81.89
"2020 coronavirus pandemic in India",1,1,12814861,81.64
"The Queen's Gambit (miniseries)",997,315,12728715,70.54
"Charles, Prince of Wales",0,0,12711948,81.38
"Cleopatra",224,109,12608502,92.65
"List of presidents of the United States",556,232,12535209,74.54
"2019–20 coronavirus outbreak",4,4,12425882,49.96
"2019–20 coronavirus pandemic by country and territory",83,23,12395598,62.51
"List of Marvel Cinematic Universe films",361,85,12103824,71.06
"BBC World Service",59,32,11933204,93.77
"Antifa (United States)",1324,185,11931468,76.37
"Ruth Bader Ginsburg",835,305,11835675,74.87
"2019–20 Wuhan coronavirus outbreak",4,4,11767455,50.98
"2020 coronavirus pandemic in the United States",3,2,11651451,42.16
"Media",39,26,11550904,1.58
"India",319,110,11153300,70.89
"Sex",70,27,10951824,92.67
"Periodic table",512,55,10949915,56.96
"Ken Miles",191,132,10933493,84
"Amy Coney Barrett",2014,452,10926083,70.56
"Money Heist",625,273,10910719,74.86
"Cristiano Ronaldo",710,180,10826174,77.86
"LeBron James",517,185,10807324,75.56
"Shooting of Breonna Taylor",3,3,10670144,80.77
"2020 Democratic Party presidential primaries",2861,456,10518151,52.49
"Kepler's Supernova",7,7,10489592,24.11
"Sean Connery",758,246,10388740,76.34
"Margaret Thatcher",496,108,10358572,78.66
"Aaron Hernandez",202,59,10350317,86.53
"Naya Rivera",1607,394,10288040,83.6
"Kim Jong-un",1,1,10261719,76.83
"Jeff Bezos",216,140,10192603,72.58
"Joe Exotic",571,248,10064841,81.06
"George VI",308,168,10027072,80.79
"Hamilton (musical)",795,419,9927592,75.68
"The Boys (2019 TV series)",0,0,9890664,61.1
"COVID-19 pandemic by country and territory",5442,1231,9879815,48.01
"Beau Biden",231,153,9869496,79.43
"Jill Biden",512,220,9775932,78.2
"Melania Trump",360,153,9773054,80.59
"1917 (2019 film)",1279,529,9753140,62.08
"Schitt's Creek",430,235,9716592,73.2
"Pizzagate conspiracy theory",146,76,9713167,84.56
"Winston Churchill",1011,164,9611902,76.74
"Boris Johnson",920,356,9528850,72.16
"Dwayne Johnson",308,147,9487857,78.89
"Ozark (TV series)",455,162,9438019,72.37
"Anya Taylor-Joy",365,196,9371142,72.19
"Google",216,127,9286641,47.91
"Joaquin Phoenix",395,202,9280875,77.11
"United Kingdom",638,237,9239325,57.3
"Diego Maradona",1329,558,9161609,76.96
"Judy Garland",381,214,9099538,82.48
"World War II",377,140,9059301,62.22
"Joker (2019 film)",522,234,9024751,61.93
"Keanu Reeves",227,95,8988998,77.28
"Black Death",520,170,8973248,70.06
"Once Upon a Time in Hollywood",771,228,8934350,74.4
"Carole Baskin",429,195,8903244,81.36
"Mike Tyson",258,107,8841527,75.45
"Scarlett Johansson",169,71,8833363,76.28
"Patrick Mahomes",525,155,8817765,81.15
"Andrew Cuomo",241,125,8754760,71.63
"Johnny Depp",201,122,8740804,77.21
"Edward VIII",304,143,8700237,80.56
"Dan Levy (Canadian actor)",218,113,8683234,84.11
"Adolf Hitler",232,98,8649734,66.98
"Alexandria Ocasio-Cortez",532,237,8646138,67.7
"Coca-Cola",114,68,8613607,35.77
"Mulan (2020 film)",1437,480,8570768,50.71
"Brooklyn",206,111,8483047,30.5
"The Invisible Man (2020 film)",811,391,8471669,54.1
"TikTok",1028,343,8451296,70.22
"Irrfan Khan",783,407,8447748,84.95
"2012 United States presidential election",296,179,8441859,54.97
"Facebook",279,158,8425767,52.79
"2020 coronavirus pandemic in Italy",2,2,8354968,47.9
"Ghislaine Maxwell",467,180,8236080,78.06
"John F. Kennedy",330,128,8216227,69.98
"Tom Hanks",268,161,8213752,74.72
"World War I",306,141,8194864,67.17
"Anthony Fauci",678,313,8148950,70.56
"Hunter Biden",475,165,8080274,75.84
"The Umbrella Academy (TV series)",796,330,8079541,70.28
"Freddie Mercury",236,92,8041696,78.61
"Timothée Chalamet",261,81,8019619,76.97
"Kayleigh McEnany",871,303,8018388,68.61
"List of James Bond films",193,97,7999509,67.44
"The Haunting of Bly Manor",535,220,7957379,79.59
"Waco siege",326,202,7932644,84.02
"Ronald Reagan",376,158,7926250,66.5
"Anne, Princess Royal",277,116,7924955,82.55
"Queen Victoria",150,65,7895517,73.56
"The Pirate Bay",96,54,7886825,15.71
"2008 United States presidential election",261,136,7881881,54.68
"Dua Lipa",625,191,7879755,73.24
"Birds of Prey (2020 film)",1597,594,7819544,60.11
"Leonardo DiCaprio",162,82,7811574,77.6
"123Movies",96,62,7787524,49.03
"Scottie Pippen",200,124,7780374,81.93
"Brad Pitt",175,73,7748137,77.57
"Michael Jackson",358,105,7743230,72.67
"Elton John",232,101,7732022,78.69
"Jennifer Aniston",98,49,7721136,77.47
"Dark (TV series)",859,401,7670475,68.32
"Grimes (musician)",0,0,7654687,72.52
"Franklin D. Roosevelt",221,119,7636599,67.73
"Dennis Rodman",104,54,7631618,81.5
"Bernie Sanders",892,170,7629723,65.03
"China",997,302,7627821,59.11
